PP,Y07_set,Y08_set,Y09_set,Y10_set,Y11_set
Y,,,9,9,10
Y,4,4,10,10,11
N,1,1,1,1,1
Y,2,3,5,5,5
N,1,1,1,1,1
Y,1,1,2,2,2
Y,4,4,9,9,10
N,5,5,6,6,6
N,2,2,5,5,5
N,4,3,3,3,3
N,5,5,8,8,8
N,2,3,7,8,10
N,,,2,2,2
Y,2,3,5,5,5
N,3,2,4,4,4
Y,1,1,1,1,1
Y,2,2,3,5,5
N,2,2,4,4,4
N,3,3,5,4,4
N,,1,4,6,6
N,2,1,2,2,2
N,5,5,9,9,8
Y,2,2,2,2,2
N,,,,5,5
Y,1,1,1,1,1
N,1,1,1,1,1
Y,5,6,11,11,12
N,3,2,2,2,2
N,3,3,5,5,5
N,1,1,2,2,2
N,1,1,2,2,2
Y,4,4,8,9,10
N,6,6,11,11,11
N,5,4,4,4,4
N,2,2,2,2,2
N,2,2,4,5,5
Y,4,4,9,9,10
Y,4,4,7,8,8
Y,1,1,2,2,2
Y,3,3,5,5,5
N,1,1,1,1,1
N,5,5,11,11,12
N,4,4,8,8,7
N,2,2,4,4,4
N,3,4,6,6,6
N,1,1,1,1,1
N,1,1,2,2,2
N,3,3,6,4,4
Y,2,2,4,4,4
Y,3,3,3,5,5
N,1,1,1,1,1
N,2,2,7,8,9
N,1,1,1,1,1
N,3,3,3,3,3
N,6,6,10,10,12
N,5,5,9,9,10
N,1,1,1,1,1
N,4,3,5,5,5
N,2,2,4,3,3
N,2,2,4,6,6
N,1,1,2,2,2
N,5,4,4,5,5
N,2,2,5,5,5
Y,4,5,7,4,4
N,1,1,1,1,1
N,2,2,2,2,2
N,5,5,9,9,10
N,2,2,4,5,5
N,3,3,6,7,7
N,2,2,4,4,4
N,5,4,6,7,7
N,1,1,1,1,1
Y,4,4,7,8,7
N,3,3,8,8,8
N,2,2,3,3,3
N,3,3,5,4,4
N,1,2,3,5,5
N,4,4,5,6,7
Y,4,3,4,4,4
N,3,3,6,4,4
Y,4,4,10,10,11
Y,2,2,2,2,2
N,1,1,1,1,1
N,4,5,7,8,10
Y,3,3,8,8,8
Y,2,2,5,5,5
Y,5,5,10,10,11
N,3,4,6,6,6
N,4,4,9,7,8
N,4,4,8,8,8
Y,1,1,2,2,7
N,2,2,4,2,2
N,1,1,1,1,1
N,1,1,1,1,1
N,3,4,7,7,7
Y,1,2,3,5,5
N,1,1,2,2,2
N,2,2,3,3,3
Y,5,5,10,10,11
Y,2,1,2,2,2
N,1,1,1,1,1
N,5,5,10,10,11
N,3,3,5,6,6
N,4,4,7,6,6
N,3,3,5,5,5
N,5,5,9,9,10
N,2,2,3,3,3
N,2,1,2,2,2
N,2,2,3,3,3
N,1,1,1,1,1
N,3,3,,6,6
Y,3,3,6,6,6
N,1,1,1,1,1
N,1,1,4,5,5
N,3,3,6,7,9
N,3,3,5,5,5
N,,,11,7,7
N,1,1,3,3,3
N,3,3,3,3,3
Y,1,1,1,1,1
N,2,3,7,7,7
N,2,2,4,4,4
Y,4,4,8,8,8
N,2,2,3,3,3
N,6,6,,11,12
N,1,1,2,5,5
N,6,6,10,10,11
N,5,5,11,11,12
N,2,2,2,5,5
Y,2,2,6,9,11
N,2,2,9,9,10
Y,5,5,10,10,12
N,5,5,6,7,7
N,4,5,6,7,9
N,3,3,6,6,6
N,2,2,4,6,6
N,2,3,7,7,7
N,6,6,11,11,11
N,4,4,7,7,7
N,3,3,3,5,5
N,3,3,6,6,6
